game_id,result,llm_color,termination_reason,plies_total,plies_llm,llm_legal_moves,llm_illegal_moves,llm_legal_rate,llm_outcome,llm_points,moves_per_game,structured_history_path,latency_ms_avg,latency_ms_p95,duration_s,config_file,game_index,source,system_key,system_display,prompt_system,run_root
g001,0-1,White,illegal_llm_move,34,17,17,0,1.0,loss,0.0,17.0,runs/4.1-standard/g001/hist_20251111-092106_std_w.json,1350.6666666666667,1719.0,12579.28,4.1-standard.json,0,results.jsonl,standard,Standard Prompt,standard,/Users/marcobetti/Desktop/chess/llmchess/runs/4.1-standard
g002,0-1,White,illegal_llm_move,12,6,6,0,1.0,loss,0.0,6.0,runs/4.1-standard/g002/hist_20251111-092106_std_w.json,1439.2857142857142,1871.0,12579.28,4.1-standard.json,1,results.jsonl,standard,Standard Prompt,standard,/Users/marcobetti/Desktop/chess/llmchess/runs/4.1-standard
g003,0-1,White,illegal_llm_move,24,12,12,0,1.0,loss,0.0,12.0,runs/4.1-standard/g003/hist_20251111-092106_std_w.json,1525.7692307692307,3949.0,12579.29,4.1-standard.json,2,results.jsonl,standard,Standard Prompt,standard,/Users/marcobetti/Desktop/chess/llmchess/runs/4.1-standard
g004,0-1,White,illegal_llm_move,14,7,7,0,1.0,loss,0.0,7.0,runs/4.1-standard/g004/hist_20251111-092106_std_w.json,1275.25,1837.0,12579.29,4.1-standard.json,3,results.jsonl,standard,Standard Prompt,standard,/Users/marcobetti/Desktop/chess/llmchess/runs/4.1-standard
g005,0-1,White,illegal_llm_move,16,8,8,0,1.0,loss,0.0,8.0,runs/4.1-standard/g005/hist_20251111-092106_std_w.json,1410.6666666666667,2172.0,12579.29,4.1-standard.json,4,results.jsonl,standard,Standard Prompt,standard,/Users/marcobetti/Desktop/chess/llmchess/runs/4.1-standard
g006,0-1,White,illegal_llm_move,36,18,18,0,1.0,loss,0.0,18.0,runs/4.1-standard/g006/hist_20251111-092106_std_w.json,1261.2105263157894,1471.0,12579.3,4.1-standard.json,5,results.jsonl,standard,Standard Prompt,standard,/Users/marcobetti/Desktop/chess/llmchess/runs/4.1-standard
g007,0-1,White,illegal_llm_move,20,10,10,0,1.0,loss,0.0,10.0,runs/4.1-standard/g007/hist_20251111-092106_std_w.json,1580.5454545454545,5208.0,12579.3,4.1-standard.json,6,results.jsonl,standard,Standard Prompt,standard,/Users/marcobetti/Desktop/chess/llmchess/runs/4.1-standard
g008,0-1,White,illegal_llm_move,14,7,7,0,1.0,loss,0.0,7.0,runs/4.1-standard/g008/hist_20251111-092106_std_w.json,1339.125,1747.0,12579.31,4.1-standard.json,7,results.jsonl,standard,Standard Prompt,standard,/Users/marcobetti/Desktop/chess/llmchess/runs/4.1-standard
g009,0-1,White,illegal_llm_move,24,12,12,0,1.0,loss,0.0,12.0,runs/4.1-standard/g009/hist_20251111-092106_std_w.json,1363.923076923077,2034.0,12579.31,4.1-standard.json,8,results.jsonl,standard,Standard Prompt,standard,/Users/marcobetti/Desktop/chess/llmchess/runs/4.1-standard
g010,0-1,White,illegal_llm_move,26,13,13,0,1.0,loss,0.0,13.0,runs/4.1-standard/g010/hist_20251111-092106_std_w.json,1489.7142857142858,5284.0,12579.32,4.1-standard.json,9,results.jsonl,standard,Standard Prompt,standard,/Users/marcobetti/Desktop/chess/llmchess/runs/4.1-standard
g011,1-0,White,normal_game_end,9,5,5,0,1.0,win,1.0,4.5,runs/4.1-standard/g011/hist_20251111-092106_std_w.json,1064.2,1241.0,12579.32,4.1-standard.json,10,results.jsonl,standard,Standard Prompt,standard,/Users/marcobetti/Desktop/chess/llmchess/runs/4.1-standard
g012,0-1,White,illegal_llm_move,28,14,14,0,1.0,loss,0.0,14.0,runs/4.1-standard/g012/hist_20251111-092106_std_w.json,1345.2666666666667,2039.0,12579.33,4.1-standard.json,11,results.jsonl,standard,Standard Prompt,standard,/Users/marcobetti/Desktop/chess/llmchess/runs/4.1-standard
g013,1-0,White,normal_game_end,27,14,14,0,1.0,win,1.0,13.5,runs/4.1-standard/g013/hist_20251111-092106_std_w.json,1251.0714285714287,1402.0,12579.33,4.1-standard.json,12,results.jsonl,standard,Standard Prompt,standard,/Users/marcobetti/Desktop/chess/llmchess/runs/4.1-standard
g014,0-1,White,illegal_llm_move,16,8,8,0,1.0,loss,0.0,8.0,runs/4.1-standard/g014/hist_20251111-092106_std_w.json,1155.888888888889,1421.0,12579.34,4.1-standard.json,13,results.jsonl,standard,Standard Prompt,standard,/Users/marcobetti/Desktop/chess/llmchess/runs/4.1-standard
g015,0-1,White,illegal_llm_move,24,12,12,0,1.0,loss,0.0,12.0,runs/4.1-standard/g015/hist_20251111-092106_std_w.json,1431.5384615384614,2229.0,12579.34,4.1-standard.json,14,results.jsonl,standard,Standard Prompt,standard,/Users/marcobetti/Desktop/chess/llmchess/runs/4.1-standard
g016,0-1,White,illegal_llm_move,28,14,14,0,1.0,loss,0.0,14.0,runs/4.1-standard/g016/hist_20251111-092106_std_w.json,1232.1333333333334,1841.0,12579.35,4.1-standard.json,15,results.jsonl,standard,Standard Prompt,standard,/Users/marcobetti/Desktop/chess/llmchess/runs/4.1-standard
g017,0-1,White,illegal_llm_move,18,9,9,0,1.0,loss,0.0,9.0,runs/4.1-standard/g017/hist_20251111-092106_std_w.json,2199.0,10657.0,12579.35,4.1-standard.json,16,results.jsonl,standard,Standard Prompt,standard,/Users/marcobetti/Desktop/chess/llmchess/runs/4.1-standard
g018,0-1,White,illegal_llm_move,18,9,9,0,1.0,loss,0.0,9.0,runs/4.1-standard/g018/hist_20251111-092106_std_w.json,1183.8,1640.0,12579.36,4.1-standard.json,17,results.jsonl,standard,Standard Prompt,standard,/Users/marcobetti/Desktop/chess/llmchess/runs/4.1-standard
g019,0-1,White,illegal_llm_move,24,12,12,0,1.0,loss,0.0,12.0,runs/4.1-standard/g019/hist_20251111-092106_std_w.json,1353.6923076923076,2502.0,12579.36,4.1-standard.json,18,results.jsonl,standard,Standard Prompt,standard,/Users/marcobetti/Desktop/chess/llmchess/runs/4.1-standard
g020,0-1,White,illegal_llm_move,36,18,18,0,1.0,loss,0.0,18.0,runs/4.1-standard/g020/hist_20251111-092106_std_w.json,1232.6842105263158,1728.0,12579.37,4.1-standard.json,19,results.jsonl,standard,Standard Prompt,standard,/Users/marcobetti/Desktop/chess/llmchess/runs/4.1-standard
g021,0-1,White,illegal_llm_move,18,9,9,0,1.0,loss,0.0,9.0,runs/4.1-standard/g021/hist_20251111-092106_std_w.json,1166.4,1382.0,12579.37,4.1-standard.json,20,results.jsonl,standard,Standard Prompt,standard,/Users/marcobetti/Desktop/chess/llmchess/runs/4.1-standard
g022,0-1,White,illegal_llm_move,12,6,6,0,1.0,loss,0.0,6.0,runs/4.1-standard/g022/hist_20251111-092106_std_w.json,1357.5714285714287,1743.0,12579.38,4.1-standard.json,21,results.jsonl,standard,Standard Prompt,standard,/Users/marcobetti/Desktop/chess/llmchess/runs/4.1-standard
